fips,wage,employment
08117,24691.65531694993,17416
08119,22772.6295503212,5604
08121,21328.74273858921,723
08123,29544.272776943042,58568
08125,20177.54517611026,2612
09001,63399.593766975,384757
09003,43406.83199874717,434217
09005,33862.757599875426,57797
09007,38194.68508784064,57832
09009,37907.44403517222,317637
09011,36379.03583077287,105775
09013,29088.546928227417,25539
09015,29800.43001707672,31622
10001,24893.200834679592,37140
10003,40909.683840658035,256279
10005,24295.068527918782,56736
11001,49915.21529455849,416318
12001,25001.63859406044,76504
12003,17529.660755336616,3045
12005,23540.59268525137,50364
12007,24017.67710663684,4023
12009,31674.175065489475,154605
12011,32698.986635276553,557288
12013,18998.533838144816,2113
12015,23876.985247629083,31317
12017,24916.16683612947,23604
12019,20857.160431422108,34027
12021,29564.014763557436,93067
12023,23707.775219380484,13333
12027,19181.321350944658,5981
12029,20735.16026936027,1485
12031,32123.215551943733,383309
12033,25769.596700058926,101820
12035,23334.190986030386,9807
12037,18227.980891719744,2198
12039,20587.849292885676,9263
12041,18023.856273764257,1315
12043,21088.61163895487,842
12045,22601.042530568848,1881
12047,31810.23796791444,2244
12049,22030.912902059994,5534
12051,21654.780085692997,10736
12053,23527.46397647443,24484
12055,20425.09225891678,18925
12057,31521.61279714746,519397
12059,17635.94992563213,2017
12061,26350.64020086862,36840
12063,19699.861852861035,7340
12065,19863.89450305386,1801
12067,16680.470527404344,967
12069,24289.696707562995,53061
12071,27344.514458621732,135663
12073,27195.322476653742,87166
12075,19526.116023064827,5723
12077,23874.175120772947,828
12079,18478.878289473683,4256
12081,25008.89269372557,107962
12083,24290.017203513908,68300
12085,27600.03966866285,45754
12086,33067.19029988893,837310
12087,25333.882352941175,30617
12089,26632.971609555065,13103
12091,23278.279355281207,58320
12093,21552.19507007007,7992
12095,30730.670217156905,549971
12097,22756.56498351147,42757
12099,35306.682429080945,423370
12101,22794.502023097713,61045
12103,30779.11154327554,393883
12105,27926.77983700186,155830
12107,23863.87529195272,14129
12109,26938.675099985187,33755
12111,24790.538508245696,41173
12113,22847.484169206135,19361
12115,27964.810158247205,127522
12117,30839.767419809716,123394
12119,22568.389487369986,5384
12121,19660.308987238663,7366
12123,27787.72772873194,4984
12125,23176.049307958478,1156
12127,24141.66059616373,120638
12129,28560.41016463851,2794
12131,20827.97246089447,9078
12133,19451.952823086576,3985
13001,32019.277037933818,4956
13003,20957.215636822195,1586
13005,22020.289738430583,2982
13007,21267.051490514907,369
13009,22388.698722498226,11272
13011,22095.518563357546,2478
13013,27011.196797076525,9304
13015,29380.374657429962,26272
13017,24530.748048568952,6918
13019,25262.69881145327,3702
13021,29085.519408902048,78701
13023,21567.309946990958,3207
13025,19901.085995085996,1221
13027,19887.523905182803,2489
13029,20863.268160217245,2946
